Date,Sales,Cost Of Sales,Quantity Sold,Year of Sales,Month Sales,Sales Month Name,Sales Day Name,Sales Quarter,Weekly Sales,Sales Season,Gross Profit,Gross Profit Margin (%),Average Selling Price,Cost per Unit,Gross Profit per Unit,Gross Profit Margin per Unit (%),7-Day Average Selling Price,30-Day Average Selling Price,30-Day Selling Price Variation,7-Day Average Gross Profit Margin (%),30-Day Average Gross Profit Margin (%),30-Day Average Quantity Sold,Low Price Condition,High Sales Volume Condition,Promotion Day,Promotion Group
2014-02-02,113433.58104545697,111466.51684753725,3320,2014,2,February,Sunday,1,Weekend,Summer,1967.0641979197244,1.7341109923448945,34.1667412787521,33.57425206251122,0.5924892162408781,1.734110992344887,34.167361829311254,33.900261457075416,0.5905464677224331,1.4504085515532523,1.3152271081734317,3655.0666666666666,False,False,False,1
2014-02-03,143192.53335617637,140505.63472300323,4191,2014,2,February,Monday,1,Weekday,Summer,2686.898633173143,1.8764237004521493,34.16667462566843,33.525563045336014,0.6411115803324137,1.8764237004521511,34.16583839993591,33.958390542900545,0.5219436072929331,1.5257110189068632,1.4495168801812115,3479.1,False,True,False,1
2014-02-04,130126.64989288137,128496.2877011727,3809,2014,2,February,Tuesday,1,Weekday,Summer,1630.3621917086712,1.2529041461151615,34.16294300154407,33.734914072242766,0.42802892930130554,1.2529041461151629,34.16667077584473,34.01588036098357,0.4367665724065633,1.5214202609414809,1.5637253307944936,3421.9333333333334,False,True,False,1
2014-02-05,187155.86854573974,195078.60333094277,5764,2014,2,February,Wednesday,1,Weekday,Summer,-7922.734785203036,-4.233228082434812,32.469789824035345,33.84431008517397,-1.3745202611386276,-4.233228082434819,33.92329714879103,34.01737141164154,0.43118923599169356,0.7199677724657908,1.4998069137741679,3299.133333333333,True,True,True,2
2014-02-06,102314.70959650404,101977.98995528856,3028,2014,2,February,Thursday,1,Weekday,Summer,336.71964121547353,0.3291018882264206,33.789534212848096,33.6783322177307,0.1112019951173977,0.3291018882264271,33.86964488493682,34.063187554874624,0.3114649813543441,0.5719406901658773,1.5928165813605526,3169.7,False,False,False,3
2014-02-07,301553.8425550869,313529.1877487157,9284,2014,2,February,Friday,1,Weekday,Summer,-11975.345193628804,-3.9712129323774694,32.481025695291564,33.77091638827183,-1.289890692980265,-3.971212932377462,33.62876080311099,34.01058849793688,0.42481319921209737,-0.21162802724905003,1.3801036760934573,3379.5,True,True,True,4
2014-02-08,316073.1775493943,329754.7794635822,9737,2014,2,February,Saturday,1,Weekend,Summer,-13681.601914187893,-4.328618461163096,32.46104319085902,33.86615789910467,-1.405114708245648,-4.328618461163091,33.385393118428375,33.95508707863427,0.5095251401543172,-1.0486455355481072,1.143431510904873,3598.766666666667,True,True,True,4
2014-02-09,135178.0425545823,141530.70868329128,4163,2014,2,February,Sunday,1,Weekend,Summer,-6352.666128708981,-4.699480780056344,32.47130496146584,33.99728769716341,-1.5259827356975677,-4.699480780056339,33.14318793024462,33.90047257198059,0.5758672515324387,-1.96773007446257,0.9063208869824024,3596.0,True,True,True,4
2014-02-10,147727.5161863135,154828.68457507665,4552,2014,2,February,Monday,1,Weekday,Summer,-7101.168388763152,-4.806936833492266,32.45332077906711,34.01333140928749,-1.5600106302203756,-4.806936833492264,32.898423095015865,33.84524362957435,0.6317962864042684,-2.922495865026058,0.668952954059715,3604.5,True,True,True,4
2014-02-11,135498.74644438608,139824.1616410127,4172,2014,2,February,Tuesday,1,Weekday,Summer,-4325.415196626622,-3.192217869264155,32.47812714390846,33.514899722198635,-1.0367725782901758,-3.192217869264149,32.65773511535364,33.7902420858935,0.6765539707129232,-3.5575132957945317,0.48233299570268445,3650.366666666667,True,True,True,4
